Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Wettercodekategorie
2016-07-13,6,16.375,6,63,7
2016-07-14,7,16.375,12,53,6
2016-07-15,7,17,16,61,7
2016-07-16,7,18,10,61,7
2016-07-17,7,17.25,9,61,7
2016-07-18,7,18. May,15,21,3
2016-07-19,6,22.375,12,20,3
2016-07-20,0,26,9,,
2016-07-21,3,25.875,8,,
2016-07-22,3,26,6,21,3
2016-07-23,3,25.375,9,,
2016-07-24,0,25.25,10,,
2016-07-25,4,25.375,7,95,10
2016-07-26,3,21.875,9,20,3
2016-07-27,4,21.375,6,,
2016-07-28,4,21.25,7,20,3
2016-07-29,6,21,10,65,7
2016-07-30,4,19.625,10,65,7
2016-07-31,7,17.375,6,61,7
2016-08-01,3,18. May,14,61,7
2016-08-02,4,19.75,7,20,3
2016-08-03,7,19.375,9,61,7
2016-08-04,6,20.375,11,61,7
2016-08-05,4,20. May,15,21,3
2016-08-06,5,17. May,14,95,10
2016-08-07,6,21.125,13,21,3
2016-08-08,5,19,18,21,3
2016-08-09,5,15.375,18,21,3
2016-08-10,4,14. May,15,95,10
2016-08-11,7,13.875,9,61,7
2016-08-12,7,18.25,12,61,7
2016-08-13,7,18.125,12,61,7
2016-08-14,6,18.125,12,21,3
2016-08-15,5,18.625,11,,
2016-08-16,2,19.375,10,,
2016-08-17,0,19.571.428,8,,
2016-08-18,3,18.25,9,,
2016-08-19,3,20.375,8,,
2016-08-20,7,20.25,9,61,7
2016-08-21,4,19.875,9,21,3
2016-08-22,7,18.375,10,65,7
2016-08-23,6,21.75,8,,
2016-08-24,0,25.375,6,,
2016-08-25,0,28.375,6,,
2016-08-26,0,27.75,13,,
2016-08-27,0,20.375,8,,
2016-08-28,4,21.875,12,63,7
2016-08-29,3,18. May,15,21,3
2016-08-30,2,20.25,12,,
2016-08-31,0,23.125,6,,
2016-09-01,5,20.25,13,21,3
2016-09-02,4,19.125,8,61,7
2016-09-03,5,19.25,12,21,3
2016-09-04,6,19.25,8,61,7
2016-09-05,0,19.125,12,0,1
2016-09-06,2,21.75,6,,
2016-09-07,0,23.625,6,,
2016-09-08,0,25.625,7,,
2016-09-09,2,21.375,10,0,1
2016-09-10,0,23.875,6,,
2016-09-11,6,20.875,10,,
2016-09-12,0,25.375,8,,
2016-09-13,0,27.875,8,,
2016-09-14,0,25.25,9,,
2016-09-15,0,23.75,13,,
2016-09-16,4,22.75,8,0,1
2016-09-17,5,18.875,14,,
2016-09-18,7,16.75,15,21,3
2016-09-19,7,17,9,,
2016-09-20,5,17. May,8,,
2016-09-21,3,18.375,10,,
2016-09-22,4,18. May,6,,
2016-09-23,4,18.625,12,21,3
2016-09-24,0,18.625,6,,
2016-09-25,0,21.375,8,,
2016-09-26,4,18.25,6,0,1
2016-09-27,0,19.875,6,0,1
2016-09-28,6,19.125,19,,
2016-09-29,7,17.375,13,61,7
2016-09-30,6,14,11,61,7
2016-10-01,3,15.875,6,,
2016-10-02,3,15.75,7,21,3
2016-10-03,7,14.375,18,61,7
2016-10-04,5,13.25,16,,
2016-10-05,3,12,19,,
2016-10-06,7,Nov 25,17,20,3
2016-10-07,7,11.125,15,0,1
2016-10-08,5,11.625,16,,
2016-10-09,7,9.125,10,61,7
2016-10-10,7,11.125,10,61,7
2016-10-11,7,9.875,20,61,7
2016-10-12,7,Sep 75,18,63,7
2016-10-13,6,10.875,15,0,1
2016-10-14,7,9.125,13,61,7
2016-10-15,8,8.625,12,61,7
2016-10-16,8,11.375,6,10,2
2016-10-17,8,Sep 75,6,10,2
2016-10-18,7,13.25,6,28,3
2016-10-19,8,7.625,4,61,7
2016-10-20,7,10.125,10,21,3
2016-10-21,6,9.875,10,61,7
2016-10-22,8,8.125,12,61,7
2016-10-23,7,8.625,4,21,3
2016-10-24,5,Sep 25,8,10,2
2016-10-25,5,9,8,0,1
2016-10-26,6,7.375,6,10,2
2016-10-27,7,13.375,9,21,3
2016-10-28,6,Dec 75,15,21,3
2016-10-29,4,11.375,16,20,3
2016-10-30,4,11,9,5,1
2016-10-31,7,12.125,6,61,7
2016-11-01,6,10.125,12,61,7
2016-11-02,4,Jul 25,13,21,3
2016-11-03,4,5.875,5,,
2016-11-04,7,7.875,8,61,7
2016-11-05,7,05. May,5,61,7
2016-11-06,7,6.625,6,61,7
2016-11-07,7,03. May,14,61,7
2016-11-08,7,0.75,14,71,8
2016-11-09,0,Jan 25,4,10,2
2016-11-10,7,4,8,22,3
2016-11-11,4,4.875,10,21,3
2016-11-12,3,1.625,6,49,5
2016-11-13,4,1.375,9,5,1
2016-11-14,4,2,10,5,1
2016-11-15,7,Jul 75,9,61,7
2016-11-16,7,Aug 75,11,61,7
2016-11-17,6,Jul 75,9,21,3
2016-11-18,4,Jul 25,13,21,3
2016-11-19,6,6.625,11,21,3
2016-11-20,6,6.375,12,63,7
2016-11-21,7,11. May,6,61,7
2016-11-22,7,12.125,7,,
2016-11-23,7,10,5,10,2
2016-11-24,0,04. May,8,10,2
2016-11-25,7,4,4,45,5
2016-11-26,7,5.875,10,61,7
2016-11-27,0,5.625,9,5,1
2016-11-28,1,2.875,11,,
2016-11-29,3,3,9,10,2
2016-11-30,7,Jun 25,12,61,7
2016-12-01,8,08. May,19,61,7
2016-12-02,0,3.625,8,0,1
2016-12-03,4,-0.75,6,49,5
2016-12-04,8,4.125,6,,
2016-12-05,7,3,7,,
2016-12-06,7,Jun 25,5,61,7
2016-12-07,7,04. May,10,61,7
2016-12-08,8,8.625,12,10,2
2016-12-09,7,8.875,13,20,3
2016-12-10,7,09. May,10,61,7
2016-12-12,7,4.875,4,61,7
2016-12-13,7,6.285.714,5,10,2
2016-12-14,7,4.625,6,45,5
2016-12-15,7,0,8,49,5
2016-12-16,8,-1,5,10,2
2016-12-17,8,2.125,6,10,2
2016-12-18,7,7,8,0,1
2016-12-19,8,May 75,4,0,1
2016-12-20,8,01. May,7,10,2
2016-12-21,6,3.625,10,10,2
2016-12-22,7,May 25,8,61,7
2016-12-23,7,6.375,9,10,2
2016-12-24,6,6.125,14,95,10
2016-12-25,7,9.375,16,61,7
2016-12-26,4,6.875,25,22,3
2016-12-27,6,Aug 25,21,,
2016-12-28,4,7.125,12,0,1
2016-12-29,3,Mar 75,11,10,2
2016-12-30,4,Jan 75,10,10,2
2016-12-31,7,4.875,13,28,3
2017-01-01,8,05. May,12,61,7
2017-01-02,3,1.625,8,0,1
2017-01-03,7,6,16,61,7
2017-01-04,4,4,19,20,3
2017-01-05,4,-2.875,15,0,1
2017-01-06,1,-4.25,6,,
2017-01-07,8,-0.5,11,71,8
2017-01-08,8,Feb 25,4,10,2
2017-01-09,8,02. May,6,20,3
2017-01-10,7,2.625,9,10,2
2017-01-11,7,4.625,15,61,7
2017-01-12,4,04. May,16,61,7
2017-01-13,3,3.125,7,61,7
2017-01-14,2,Jan 75,10,61,7
2017-01-15,5,1.375,10,71,8
2017-01-16,0,0.25,9,0,1
2017-01-17,7,0.5,4,10,2
2017-01-18,7,0.125,8,20,3
2017-01-19,8,01. May,8,61,7
2017-01-20,8,3.625,5,21,3
2017-01-21,7,May 75,5,10,2
2017-01-22,8,1.375,5,10,2
2017-01-23,7,1.125,8,10,2
2017-01-24,7,1.875,8,45,5
2017-01-25,7,-1.25,6,49,5
2017-01-26,6,1,7,10,2
2017-01-27,0,2.142.857,7,5,1
2017-01-28,1,2.875,5,5,1
2017-01-29,7,Apr 75,8,61,7
2017-01-30,7,2.625,13,61,7
2017-01-31,7,3.125,15,10,2
2017-02-01,7,1.125,8,20,3
2017-02-02,7,Jan 75,6,61,7
2017-02-03,7,1.625,6,45,5
2017-02-04,7,May 75,6,61,7
2017-02-05,8,2,10,61,7
2017-02-06,7,02. May,12,61,7
2017-02-07,7,0,12,77,8
2017-02-08,8,-2,8,77,8
2017-02-09,8,-2.125,11,22,3
2017-02-10,7,-1.75,16,10,2
2017-02-11,7,0,17,0,1
2017-02-12,8,0.375,17,10,2
2017-02-13,0,-0.25,10,10,2
2017-02-14,2,-0.75,8,49,5
2017-02-15,0,5.875,4,5,1
2017-02-16,7,Jun 25,10,61,7
2017-02-17,7,6,9,61,7
2017-02-18,7,4.625,12,20,3
2017-02-19,7,5.625,8,61,7
2017-02-20,7,8,16,61,7
2017-02-21,6,7.625,18,,
2017-02-22,6,7.375,20,61,7
2017-02-23,7,4.375,22,63,7
2017-02-24,1,4.125,15,21,3
2017-02-25,7,3.375,12,61,7
2017-02-26,7,07. May,11,61,7
2017-02-27,8,Oct 75,11,,
2017-02-28,6,6,15,21,3
2017-03-01,6,5,14,63,7
2017-03-02,3,06. May,16,21,3
2017-03-03,2,8.375,10,0,1
2017-03-04,6,9.125,5,5,1
2017-03-05,7,7.375,12,61,7
2017-03-06,8,Mar 75,17,0,1
2017-03-07,7,Jan 75,7,20,3
2017-03-08,6,May 75,9,61,7
2017-03-09,7,7.375,8,21,3
2017-03-10,4,Aug 75,16,0,1
2017-03-11,2,Jul 75,9,0,1
2017-03-12,6,6.375,9,,
2017-03-13,7,6.625,7,5,1
2017-03-14,6,10. May,13,0,1
2017-03-15,0,Sep 25,16,5,1
2017-03-16,5,Nov 75,9,,
2017-03-17,6,Jun 75,18,63,7
2017-03-18,5,6.875,22,21,3
2017-03-19,8,3.875,9,79,8
2017-03-20,7,Oct 25,8,61,7
2017-03-21,5,Aug 75,20,21,3
2017-03-22,0,Oct 75,11,0,1
2017-03-23,4,8.125,11,,
2017-03-24,0,10. May,7,0,1
2017-03-25,3,9.875,12,0,1
2017-03-26,3,9.375,7,0,1
2017-03-27,0,12. May,11,10,2
2017-03-28,0,13.875,7,0,1
2017-03-29,8,10,13,21,3
2017-03-30,7,16,12,61,7
2017-03-31,0,19.75,7,,
2017-04-01,2,15.75,7,0,1
2017-04-02,2,13.375,13,0,1
2017-04-03,2,10.375,8,,
2017-04-04,2,12.625,8,0,1
2017-04-05,5,9.875,18,21,3
2017-04-06,6,10,17,0,1
2017-04-07,6,11.125,18,20,3
2017-04-08,7,10.875,12,,
2017-04-09,0,16,9,5,1
2017-04-10,7,09. May,19,21,3
2017-04-11,5,Aug 75,18,21,3
2017-04-12,7,Aug 75,13,61,7
2017-04-13,7,9,18,61,7
2017-04-14,7,Sep 25,12,63,7
2017-04-15,6,8.125,23,63,7
2017-04-16,7,6.875,7,61,7
2017-04-17,6,Jun 25,10,61,7
2017-04-18,4,5.625,15,,
2017-04-19,0,6.375,10,0,1
2017-04-20,7,Aug 25,12,,
2017-04-21,7,11.875,19,61,7
2017-04-22,5,07. May,21,61,7
2017-04-23,4,7.875,20,21,3
2017-04-24,7,8.875,17,63,7
2017-04-25,5,05. May,15,69,7
2017-04-26,6,7.625,7,61,7
2017-04-27,6,8.625,13,61,7
2017-04-28,7,8.625,10,61,7
2017-04-29,4,7.125,9,61,7
2017-04-30,1,11.875,12,0,1
2017-05-01,1,Nov 75,19,5,1
2017-05-02,2,10.875,21,5,1
2017-05-03,3,Nov 25,20,5,1
2017-05-04,7,10.625,19,,
2017-05-05,7,Aug 25,15,61,7
2017-05-06,7,11,7,0,1
2017-05-07,0,17.125,9,0,1
2017-05-08,1,Sep 75,19,5,1
2017-05-09,4,10,12,,
2017-05-10,7,Sep 25,11,61,7
2017-05-11,0,13.375,14,,
2017-05-12,7,Dec 75,13,61,7
2017-05-13,6,17.875,6,21,3
2017-05-14,2,18.75,12,0,1
2017-05-15,3,17.375,9,0,1
2017-05-16,7,14.125,8,61,7
2017-05-17,6,23.125,7,,
2017-05-18,4,23.125,12,,
2017-05-19,6,17.375,7,21,3
2017-05-20,4,16,12,,
2017-05-21,1,18.625,12,,
2017-05-22,0,17.75,9,,
2017-05-23,4,22.125,15,95,10
2017-05-24,3,17.125,18,0,1
2017-05-25,2,18.875,12,,
2017-05-26,0,20.75,6,0,1
2017-05-27,0,24.75,7,,
2017-05-28,1,22.375,14,61,7
2017-05-29,5,18.75,7,0,1
2017-05-30,6,20. May,14,5,1
2017-05-31,5,15. May,18,5,1
2017-06-01,0,17.375,12,5,1
2017-06-02,0,20.25,9,,
2017-06-03,7,17. May,5,61,7
2017-06-04,5,17.125,14,61,7
2017-06-05,1,20.125,9,0,1
2017-06-06,4,21.625,10,61,7
2017-06-07,7,Dec 25,14,63,7
2017-06-08,7,14.875,8,61,7
2017-06-09,6,20.25,14,95,10
2017-06-10,5,19.25,10,0,1
2017-06-11,2,25,11,,
2017-06-12,7,16.25,16,61,7
2017-06-13,6,16.125,16,21,3
2017-06-14,7,19.125,9,,
2017-06-15,3,22.75,6,21,3
2017-06-16,5,17.375,20,21,3
2017-06-17,0,20.125,15,0,1
2017-06-18,2,24.25,9,,
2017-06-19,1,25.375,7,0,1
2017-06-20,0,20.75,12,0,1
2017-06-21,3,18.75,10,,
2017-06-22,3,20.25,10,95,10
2017-06-23,7,17.25,14,61,7
2017-06-24,6,17.875,19,61,7
2017-06-25,7,17.25,16,20,3
2017-06-26,3,17.375,16,21,3
2017-06-27,3,16.375,9,,
2017-06-28,6,19.75,18,,
2017-06-29,7,17.875,8,61,7
2017-06-30,7,14.875,11,63,7
2017-07-01,7,17.625,10,21,3
2017-07-02,7,17.125,18,21,3
2017-07-03,7,18.625,14,95,10
2017-07-04,6,17.25,15,,
2017-07-05,2,19,9,,
2017-07-06,0,18.375,8,,
2017-07-07,5,20.625,7,61,7
2017-07-08,4,20.625,16,21,3
2017-07-09,1,19.125,9,,
2017-07-10,7,17. May,6,61,7
2017-07-11,6,19.875,11,95,10
2017-07-12,7,14.75,12,61,7
2017-07-13,6,16.875,15,,
2017-07-14,3,19. May,8,,
2017-07-15,7,18.75,10,21,3
2017-07-16,8,17.375,9,61,7
2017-07-17,6,18. May,12,,
2017-07-18,5,18.75,7,,
2017-07-19,1,22. May,13,0,1
2017-07-20,7,21. May,5,61,7
2017-07-21,2,20. May,10,,
2017-07-22,7,18. May,9,63,7
2017-07-23,6,19.375,12,61,7
2017-07-24,7,18.75,10,21,3
2017-07-25,7,16.25,16,63,7
2017-07-26,0,20.875,10,,
2017-07-27,6,19. May,10,61,7
2017-07-28,6,18.125,17,61,7
2017-07-29,5,19.625,11,61,7
2017-07-30,5,24,11,61,7
2017-07-31,2,22.75,9,,
2017-08-01,6,21.375,7,21,3
2017-08-02,5,21.375,8,61,7
2017-08-03,7,20.125,10,95,10
2017-08-04,6,19.625,18,21,3
2017-08-05,4,20.125,12,,
2017-08-06,3,18. May,13,21,3
2017-08-07,2,224.875,8,,
2017-08-08,6,230.625,8,21,3
2017-08-09,1,21.125,11,0,1
2017-08-10,6,19. Jun,9,,
2017-08-11,7,16.375,8,61,7
2017-08-12,7,155.625,8,61,7
2017-08-13,4,17.825,11,21,3
2017-08-14,1,186.375,12,0,1
2017-08-15,2,250.625,9,,
2017-08-16,3,208.625,8,0,1
2017-08-17,5,21. Aug,10,63,7
2017-08-18,6,196.625,7,0,1
2017-08-19,5,169.375,11,63,7
2017-08-20,6,160.125,10,61,7
2017-08-21,7,17. Feb,15,61,7
2017-08-22,4,176.125,11,,
2017-08-23,0,194.375,9,5,1
2017-08-24,3,194.875,14,21,3
2017-08-25,3,197.625,13,,
2017-08-26,4,19.525,7,0,1
2017-08-27,4,196.625,13,21,3
2017-08-28,4,205.375,5,,
2017-08-29,0,24. Jun,9,,
2017-08-30,6,20,11,61,7
2017-08-31,7,148.875,11,61,7
2017-09-01,4,17. Mar,7,61,7
2017-09-02,4,16.525,8,21,3
2017-09-03,3,17. Apr,7,0,1
2017-09-04,0,182.875,10,0,1
2017-09-05,3,20.95,6,,
2017-09-06,7,18. Feb,17,63,7
2017-09-07,5,172.875,16,21,3
2017-09-08,7,149.375,10,61,7
2017-09-09,7,15.025,9,61,7
2017-09-10,2,17.65,11,0,1
2017-09-11,3,178.625,11,21,3
2017-09-12,5,16. Jan,12,21,3
2017-09-13,7,133.375,20,63,7
2017-09-14,7,132.375,13,61,7
2017-09-15,6,14.425,11,21,3
2017-09-16,8,119.125,6,61,7
2017-09-17,7,15.25,7,61,7
2017-09-18,2,15.075,4,0,1
2017-09-19,5,143.875,8,65,7
2017-09-20,7,14.225,10,61,7
2017-09-21,4,169.625,7,10,2
2017-09-22,1,155.875,8,0,1
2017-09-23,0,15.85,9,0,1
2017-09-24,7,158.125,9,53,6
2017-09-25,6,16.225,15,21,3
2017-09-26,7,15.725,12,10,2
2017-09-27,7,16.575,10,61,7
2017-09-28,7,151.125,7,21,3
2017-09-29,2,19. Jan,6,10,2
2017-09-30,7,151.125,6,61,7
2017-10-01,2,162.875,6,,
2017-10-02,6,15.15,13,61,7
2017-10-03,5,142.625,14,61,7
2017-10-06,1,138.875,13,3,1
2017-10-07,7,Oct 65,10,61,7
2017-10-08,0,12.025,12,5,1
2017-10-09,5,12.475,8,20,3
2017-10-10,7,14. May,9,63,7
2017-10-11,7,146.375,12,63,7
2017-10-12,6,131.875,24,21,3
2017-10-13,6,141.625,8,10,2
2017-10-14,8,157.625,12,61,7
2017-10-15,2,178.125,5,28,3
2017-10-16,5,179.375,7,10,2
2017-10-17,7,14.725,13,,
2017-10-18,4,148.125,6,0,1
2017-10-19,6,14.85,9,10,2
2017-10-20,7,14.175,6,61,7
2017-10-21,7,130.375,6,61,7
2017-10-22,7,11.025,7,61,7
2017-10-23,7,Nov 95,8,61,7
2017-10-24,7,11.925,8,61,7
2017-10-25,7,14.225,16,61,7
2017-10-26,5,13.475,12,,
2017-10-27,4,Nov 95,13,,
2017-10-28,7,112.125,17,61,7
2017-10-29,2,09. Sep,20,21,3
2017-10-30,,08. Jan,11,,
2017-10-31,,8.925,7,,
2017-11-01,,12.975,12,,
2017-11-02,,116.875,13,,
2017-11-03,,94.375,7,,
2017-11-04,,102.625,5,,
2017-11-05,,09. Aug,8,,
2017-11-06,,82.125,7,,
2017-11-07,,67.875,5,,
2017-11-08,,8.625,9,,
2017-11-09,6,Aug 55,9,10,2
2017-11-10,7,75.375,16,61,7
2017-11-11,5,52.375,8,63,7
2017-11-12,7,5.575,7,61,7
2017-11-13,2,05. Sep,9,10,2
2017-11-14,7,63.875,11,61,7
2017-11-15,7,9.375,7,61,7
2017-11-16,8,88.125,8,61,7
2017-11-17,3,7.725,10,21,3
2017-11-18,5,May 35,12,65,7
2017-11-19,3,Jun 25,15,21,3
2017-11-20,6,59.625,6,,
2017-11-21,7,49.875,5,61,7
2017-11-22,7,106.125,10,61,7
2017-11-23,7,12.225,16,61,7
2017-11-24,7,69.875,8,61,7
2017-11-25,7,2.775,5,45,5
2017-11-26,7,Apr 65,12,61,7
2017-11-27,7,45.625,14,61,7
2017-11-28,7,54.875,12,61,7
2017-11-29,7,4.225,6,61,7
2017-11-30,7,28.125,4,10,2
2017-12-01,6,43.625,8,68,7
2017-12-02,7,0.375,8,61,7
2017-12-03,7,5.225,7,61,7
2017-12-04,2,53.375,12,,
2017-12-05,7,Aug 65,17,21,3
2017-12-06,7,08. Sep,17,0,1
2017-12-07,8,57.625,13,61,7
2017-12-08,6,1.675,10,73,8
2017-12-09,3,35.125,10,61,7
2017-12-10,7,0.9875,9,22,3
2017-12-11,8,22.375,14,61,7
2017-12-12,7,Jan 55,12,68,7
2017-12-13,7,19.875,12,69,7
2017-12-14,7,3.025,12,61,7
2017-12-15,7,30.375,9,20,3
2017-12-16,1,3.275,10,10,2
2017-12-17,3,11.375,7,10,2
2017-12-18,5,24.625,6,10,2
2017-12-19,7,59.125,7,20,3
2017-12-20,7,66.375,6,20,3
2017-12-21,7,62.375,10,21,3
2017-12-22,7,57.625,9,10,2
2017-12-23,7,07. Aug,19,61,7
2017-12-24,7,81.125,16,61,7
2017-12-25,7,08. Jul,14,61,7
2017-12-26,7,Jun 25,14,61,7
2017-12-27,7,46.125,7,21,3
2017-12-28,4,40.875,11,61,7
2017-12-29,5,28.125,11,61,7
2017-12-30,7,04. May,10,61,7
2017-12-31,7,Aug 25,16,63,7
2018-01-01,6,66.125,17,61,7
2018-01-02,6,05. Jul,8,61,7
2018-01-03,7,6.475,11,61,7
2018-01-04,6,55.125,7,61,7
2018-01-05,8,4.325,10,61,7
2018-01-06,7,31.875,8,61,7
2018-01-07,0,0.65,8,,
2018-01-08,1,0.9875,7,5,1
2018-01-09,4,31.625,11,0,1
2018-01-10,6,40.125,6,21,3
2018-01-11,7,38.375,10,61,7
2018-01-12,7,2.275,10,10,2
2018-01-13,8,1.275,8,10,2
2018-01-14,1,0.325,8,5,1
2018-01-15,7,15.625,12,61,7
2018-01-16,7,33.625,9,61,7
2018-01-17,6,18.125,10,61,7
2018-01-18,7,11.625,17,73,8
2018-01-19,6,1.975,10,73,8
2018-01-20,8,Jan 75,7,61,7
2018-01-21,6,-0.6125,3,49,5
2018-01-22,7,0.675,7,77,8
2018-01-23,7,46.625,7,61,7
2018-01-24,8,11. Jun,14,61,7
2018-01-25,7,Jul 95,9,21,3
2018-01-26,6,59.625,5,45,5
2018-01-27,8,56.375,9,10,2
2018-01-28,6,76.625,16,61,7
2018-01-29,7,Jul 55,21,63,7
2018-01-30,4,57.375,15,10,2
2018-01-31,7,06. Mar,15,61,7
2018-02-01,7,35.125,11,61,7
2018-02-02,7,Mar 45,6,61,7
2018-02-03,7,-11.625,8,71,8
2018-02-04,7,0.825,18,73,8
2018-02-05,7,-0.2375,10,22,3
2018-02-06,1,-0.8625,5,10,2
2018-02-07,0,-1.285.714,4,5,1
2018-02-08,0,-0.0125,6,5,1
2018-02-09,1,-0.2625,7,10,2
2018-02-10,1,0.5625,4,10,2
2018-02-11,7,23.375,11,75,8
2018-02-12,5,1.825,15,75,8
2018-02-13,0,26.875,7,10,2
2018-02-14,0,Feb 95,8,5,1
2018-02-15,7,0.675,11,73,8
2018-02-16,5,48.625,12,21,3
2018-02-17,8,4.125,5,10,2
2018-02-18,5,4.375,8,0,1
2018-02-19,5,49.125,4,5,1
2018-02-20,1,3.375,11,10,2
2018-02-21,6,2.175,7,22,3
2018-02-22,7,11.125,7,20,3
2018-02-23,1,0.4375,12,5,1
2018-02-24,6,0.125,15,71,8
2018-02-25,7,-29.625,14,71,8
2018-02-26,5,-15.375,18,,
2018-02-27,6,-3.425,16,71,8
2018-02-28,5,-61.375,16,5,1
2018-03-01,6,-3.95,18,71,8
2018-03-02,6,-49.625,15,71,8
2018-03-03,0,-34.375,13,5,1
2018-03-04,5,-23.125,10,77,8
2018-03-05,5,59.875,7,10,2
2018-03-06,0,06. Apr,9,5,1
2018-03-07,7,11.875,6,71,8
2018-03-08,5,44.625,8,61,7
2018-03-09,7,Apr 45,13,61,7
2018-03-10,8,03. Apr,10,63,7
2018-03-11,5,11.475,7,45,5
2018-03-12,7,65.375,5,61,7
2018-03-13,7,42.625,12,61,7
2018-03-14,8,03. Feb,8,21,3
2018-03-15,8,24.625,20,,
2018-03-16,7,0.2,28,22,3
2018-03-17,5,-2.225,29,73,8
2018-03-18,1,-0.825,23,5,1
2018-03-19,0,02. Mar,8,5,1
2018-03-20,0,42.125,17,5,1
2018-03-21,7,04. Jul,13,22,3
2018-03-22,8,57.625,11,61,7
2018-03-23,8,4.425,5,22,3
2018-03-24,7,7.125,4,5,1
2018-03-25,7,7.625,6,0,1
2018-03-26,7,50.375,8,61,7
2018-03-27,7,5.325,9,10,2
2018-03-28,7,3.725,14,61,7
2018-03-29,7,0.9,8,71,8
2018-03-30,1,3.225,13,5,1
2018-03-31,7,2.225,17,,
2018-04-01,6,2.525,9,71,8
2018-04-02,5,06. Jan,8,5,1
2018-04-03,7,11.775,9,61,7
2018-04-04,4,132.125,9,61,7
2018-04-05,7,86.625,19,61,7
2018-04-06,1,99.875,10,5,1
2018-04-07,0,14.75,9,5,1
2018-04-08,0,20. May,5,5,1
2018-04-09,5,153.125,9,5,1
2018-04-10,8,51.625,21,10,2
2018-04-11,8,47.125,22,,
2018-04-12,5,7.975,19,5,1
2018-04-13,6,87.125,15,61,7
2018-04-14,8,7.675,10,61,7
2018-04-15,8,95.375,7,61,7
2018-04-16,2,13.875,8,63,7
2018-04-17,0,15.25,11,0,1
2018-04-18,1,20.35,11,0,1
2018-04-19,0,231.125,5,0,1
2018-04-20,0,24.375,13,0,1
2018-04-21,1,156.625,10,5,1
2018-04-22,1,14.525,11,5,1
2018-04-23,4,14. Apr,18,5,1
2018-04-24,5,120.875,21,61,7
2018-04-25,7,Sep 25,13,61,7
2018-04-26,6,110.875,18,61,7
2018-04-27,5,130.875,8,0,1
2018-04-28,7,14.65,8,61,7
2018-04-29,7,8.875,9,21,3
2018-04-30,7,Nov 55,10,95,10
2018-05-01,7,69.875,13,63,7
2018-05-02,1,14.725,9,5,1
2018-05-03,1,12. May,14,0,1
2018-05-04,0,121.875,10,5,1
2018-05-05,0,14.75,9,5,1
2018-05-06,0,189.125,10,,
2018-05-07,0,20.825,11,0,1
2018-05-08,0,223.875,14,5,1
2018-05-09,0,23. Mar,12,,
2018-05-10,5,20.525,9,95,10
2018-05-11,1,15. Jan,8,,
2018-05-12,5,173.375,10,0,1
2018-05-13,2,17.25,12,10,2
2018-05-14,0,188.875,11,5,1
2018-05-15,0,18,9,0,1
2018-05-16,5,205.625,13,21,3
2018-05-17,3,152.875,10,5,1
2018-05-18,7,14.75,9,0,1
2018-05-19,6,149.125,8,0,1
2018-05-20,0,18. Sep,13,5,1
2018-05-21,0,185.125,16,5,1
2018-05-22,0,20.325,13,5,1
2018-05-23,0,201.625,10,0,1
2018-05-24,0,20.35,15,5,1
2018-05-25,0,19.775,16,5,1
2018-05-26,0,19.875,11,5,1
2018-05-27,7,16.425,12,20,3
2018-05-28,2,202.125,10,5,1
2018-05-29,0,234.625,14,5,1
2018-05-30,1,231.875,11,17,2
2018-05-31,0,218.875,14,5,1
2018-06-01,0,21.375,12,5,1
2018-06-02,1,228.875,10,5,1
2018-06-03,7,19.275,9,0,1
2018-06-04,5,19.25,14,20,3
2018-06-05,0,19. Jul,10,5,1
2018-06-06,0,22.15,14,5,1
2018-06-07,0,236.875,10,,
2018-06-08,0,227.375,9,0,1
2018-06-09,6,221.125,7,61,7
2018-06-10,7,19. Jan,8,61,7
2018-06-11,6,185.125,15,,
2018-06-12,8,153.125,12,20,3
2018-06-13,7,16. Apr,14,61,7
2018-06-14,5,20. Sep,10,,
2018-06-15,4,19. Feb,7,0,1
2018-06-16,5,21.325,7,95,10
2018-06-17,5,18.275,12,61,7
2018-06-18,7,176.375,9,61,7
2018-06-19,3,192.375,16,21,3
2018-06-20,3,23.65,13,0,1
2018-06-21,7,115.625,15,65,7
2018-06-22,5,15.575,20,61,7
2018-06-23,7,14. Mar,18,61,7
2018-06-24,6,162.375,10,21,3
2018-06-25,6,17.175,13,21,3
2018-06-26,3,20.075,6,21,3
2018-06-27,0,220.125,11,5,1
2018-06-28,0,22.125,9,0,1
2018-06-29,0,21.85,15,5,1
2018-06-30,0,212.375,10,5,1
2018-07-01,0,210.625,12,5,1
2018-07-02,0,22.525,11,5,1
2018-07-03,0,224.875,9,5,1
2018-07-04,5,19. Jul,9,,
2018-07-05,7,17. May,12,20,3
2018-07-06,0,205.125,18,5,1
2018-07-07,0,20.25,19,5,1
2018-07-08,0,23,10,5,1
2018-07-09,6,16.75,18,0,1
2018-07-10,2,18.675,15,5,1
2018-07-11,7,19.625,12,21,3
2018-07-12,1,26.075,14,,
2018-07-13,0,23.975,13,5,1
2018-07-14,7,177.625,12,0,1
2018-07-15,2,23. Feb,9,5,1
2018-07-16,0,24.25,9,5,1
2018-07-17,0,26.775,10,,
2018-07-18,3,23.866.666,13,0,1
2018-07-19,2,22.575,13,,
2018-07-20,0,22.775,9,0,1
2018-07-21,0,250.625,10,0,1
2018-07-22,1,250.375,13,5,1
2018-07-23,3,248.375,10,,
2018-07-24,0,28. Jan,10,5,1
